pet_type,symptoms,condition,advice,urgency,home_care
Cat,"eye_discharge runny_nose sneezing weakness","Herpes FHV","Feline Herpesvirus suspected. Affects respiratory tract.","next_morning","Keep eyes and nose clean. Warm humid environment helps."
Cat,"lethargy sneezing nasal_discharge eye_discharge","Herpes FHV","Feline Herpesvirus suspected. Affects respiratory tract.","next_morning","Keep eyes and nose clean. Warm humid environment helps."
Cat,"fever runny_nose sneezing loss_of_appetite","Herpes FHV","Feline Herpesvirus suspected. Affects respiratory tract.","next_morning","Keep eyes and nose clean. Warm humid environment helps."
Cat,"sneezing eye_discharge weakness nasal_discharge","Herpes FHV","Feline Herpesvirus suspected. Affects respiratory tract.","next_morning","Keep eyes and nose clean. Warm humid environment helps."
Cat,"nasal_discharge lethargy sneezing fever","Herpes FHV","Feline Herpesvirus suspected. Affects respiratory tract.","next_morning","Keep eyes and nose clean. Warm humid environment helps."
Cat,"runny_nose eye_discharge loss_of_appetite sneezing","Herpes FHV","Feline Herpesvirus suspected. Affects respiratory tract.","next_morning","Keep eyes and nose clean. Warm humid environment helps."
Cat,"sneezing weakness fever eye_discharge","Herpes FHV","Feline Herpesvirus suspected. Affects respiratory tract.","next_morning","Keep eyes and nose clean. Warm humid environment helps."
Cat,"vomiting diarrhea lethargy loss_of_appetite blood_in_stool","FPV Panleukopenia","Highly contagious. Immediate veterinary care is critical.","urgent","Isolate from other pets. Go to emergency vet immediately."
Cat,"bloody_diarrhea vomiting lethargy fever","FPV Panleukopenia","Highly contagious. Immediate veterinary care is critical.","urgent","Isolate from other pets. Go to emergency vet immediately."
Cat,"loss_of_appetite blood_in_stool vomiting weakness","FPV Panleukopenia","Highly contagious. Immediate veterinary care is critical.","urgent","Isolate from other pets. Go to emergency vet immediately."
Cat,"diarrhea vomiting fever not_eating","FPV Panleukopenia","Highly contagious. Immediate veterinary care is critical.","urgent","Isolate from other pets. Go to emergency vet immediately."
Cat,"lethargy bloody_diarrhea loss_of_appetite vomiting","FPV Panleukopenia","Highly contagious. Immediate veterinary care is critical.","urgent","Isolate from other pets. Go to emergency vet immediately."
Cat,"blood_in_stool fever vomiting lethargy","FPV Panleukopenia","Highly contagious. Immediate veterinary care is critical.","urgent","Isolate from other pets. Go to emergency vet immediately."
Cat,"vomiting weakness diarrhea not_eating","FPV Panleukopenia","Highly contagious. Immediate veterinary care is critical.","urgent","Isolate from other pets. Go to emergency vet immediately."
Cat,"fever loss_of_appetite bloody_diarrhea lethargy","FPV Panleukopenia","Highly contagious. Immediate veterinary care is critical.","urgent","Isolate from other pets. Go to emergency vet immediately."
Cat,"blood_in_stool vomiting weakness diarrhea","FPV Panleukopenia","Highly contagious. Immediate veterinary care is critical.","urgent","Isolate from other pets. Go to emergency vet immediately."
Cat,"lethargy fever vomiting blood_in_stool","FPV Panleukopenia","Highly contagious. Immediate veterinary care is critical.","urgent","Isolate from other pets. Go to emergency vet immediately."
Cat,"weight_loss lethargy swollen_lymph_nodes loss_of_appetite","FIV Immunodeficiency","Weakened immune system. Requires careful management.","next_morning","Keep indoors only. Regular vet checkups."
Cat,"recurrent_infections lethargy weight_loss poor_coat","FIV Immunodeficiency","Weakened immune system. Requires careful management.","next_morning","Keep indoors only. Regular vet checkups."
Cat,"swollen_lymph_nodes loss_of_appetite weakness fatigue","FIV Immunodeficiency","Weakened immune system. Requires careful management.","next_morning","Keep indoors only. Regular vet checkups."
Cat,"lethargy weight_loss recurrent_infections diarrhea","FIV Immunodeficiency","Weakened immune system. Requires careful management.","next_morning","Keep indoors only. Regular vet checkups."
Cat,"poor_coat swollen_lymph_nodes lethargy not_eating","FIV Immunodeficiency","Weakened immune system. Requires careful management.","next_morning","Keep indoors only. Regular vet checkups."
Cat,"fatigue weight_loss loss_of_appetite swollen_lymph_nodes","FIV Immunodeficiency","Weakened immune system. Requires careful management.","next_morning","Keep indoors only. Regular vet checkups."
Cat,"weakness recurrent_infections poor_coat lethargy","FIV Immunodeficiency","Weakened immune system. Requires careful management.","next_morning","Keep indoors only. Regular vet checkups."
Cat,"diarrhea swollen_lymph_nodes weight_loss fatigue","FIV Immunodeficiency","Weakened immune system. Requires careful management.","next_morning","Keep indoors only. Regular vet checkups."
Cat,"loss_of_appetite poor_coat weakness recurrent_infections","FIV Immunodeficiency","Weakened immune system. Requires careful management.","next_morning","Keep indoors only. Regular vet checkups."
Cat,"lethargy not_eating swollen_lymph_nodes weight_loss","FIV Immunodeficiency","Weakened immune system. Requires careful management.","next_morning","Keep indoors only. Regular vet checkups."
Cat,"excessive_thirst frequent_urination weight_loss lethargy","Diabetes","Blood sugar regulation needed via diet or insulin.","next_morning","Low sugar diet. Vet visit for glucose test required."
Cat,"increased_thirst frequent_urination lethargy weight_loss","Diabetes","Blood sugar regulation needed via diet or insulin.","next_morning","Low sugar diet. Vet visit for glucose test required."
Cat,"weight_loss excessive_thirst frequent_urination weakness","Diabetes","Blood sugar regulation needed via diet or insulin.","next_morning","Low sugar diet. Vet visit for glucose test required."
Cat,"frequent_urination excessive_thirst weakness lethargy","Diabetes","Blood sugar regulation needed via diet or insulin.","next_morning","Low sugar diet. Vet visit for glucose test required."
Cat,"weight_loss lethargy increased_thirst cloudy_eyes","Diabetes","Blood sugar regulation needed via diet or insulin.","next_morning","Low sugar diet. Vet visit for glucose test required."
Cat,"excessive_thirst weight_loss lethargy not_eating","Diabetes","Blood sugar regulation needed via diet or insulin.","next_morning","Low sugar diet. Vet visit for glucose test required."
Cat,"frequent_urination weakness increased_appetite weight_loss","Diabetes","Blood sugar regulation needed via diet or insulin.","next_morning","Low sugar diet. Vet visit for glucose test required."
Cat,"lethargy cloudy_eyes frequent_urination excessive_thirst","Diabetes","Blood sugar regulation needed via diet or insulin.","next_morning","Low sugar diet. Vet visit for glucose test required."
Cat,"increased_thirst not_eating weight_loss weakness","Diabetes","Blood sugar regulation needed via diet or insulin.","next_morning","Low sugar diet. Vet visit for glucose test required."
Cat,"cloudy_eyes frequent_urination excessive_thirst weight_loss","Diabetes","Blood sugar regulation needed via diet or insulin.","next_morning","Low sugar diet. Vet visit for glucose test required."
Cat,"weight_loss increased_appetite hyperactivity vomiting","Hyperthyroidism","Overactive thyroid. Very common in older cats.","next_morning","Medication or radioactive iodine therapy from vet."
Cat,"hyperactivity weight_loss vomiting increased_thirst","Hyperthyroidism","Overactive thyroid. Very common in older cats.","next_morning","Medication or radioactive iodine therapy from vet."
Cat,"increased_appetite weight_loss hyperactivity diarrhea","Hyperthyroidism","Overactive thyroid. Very common in older cats.","next_morning","Medication or radioactive iodine therapy from vet."
Cat,"vomiting hyperactivity increased_appetite weight_loss","Hyperthyroidism","Overactive thyroid. Very common in older cats.","next_morning","Medication or radioactive iodine therapy from vet."
Cat,"weight_loss diarrhea increased_thirst hyperactivity","Hyperthyroidism","Overactive thyroid. Very common in older cats.","next_morning","Medication or radioactive iodine therapy from vet."
Cat,"increased_appetite hyperactivity weight_loss vomiting","Hyperthyroidism","Overactive thyroid. Very common in older cats.","next_morning","Medication or radioactive iodine therapy from vet."
Cat,"diarrhea weight_loss increased_appetite hyperactivity","Hyperthyroidism","Overactive thyroid. Very common in older cats.","next_morning","Medication or radioactive iodine therapy from vet."
Cat,"hyperactivity increased_thirst weight_loss diarrhea","Hyperthyroidism","Overactive thyroid. Very common in older cats.","next_morning","Medication or radioactive iodine therapy from vet."
Cat,"vomiting weight_loss diarrhea increased_appetite","Hyperthyroidism","Overactive thyroid. Very common in older cats.","next_morning","Medication or radioactive iodine therapy from vet."
Cat,"increased_thirst hyperactivity vomiting weight_loss","Hyperthyroidism","Overactive thyroid. Very common in older cats.","next_morning","Medication or radioactive iodine therapy from vet."
Cat,"loss_of_appetite hiding behavioral_change not_grooming","Stress","Behavioral changes may indicate anxiety or early illness.","next_morning","Identify stressors. Provide safe quiet space."
Cat,"hiding aggression loss_of_appetite over_grooming","Stress","Behavioral changes may indicate anxiety or early illness.","next_morning","Identify stressors. Provide safe quiet space."
Cat,"behavioral_change not_grooming hiding excessive_vocalization","Stress","Behavioral changes may indicate anxiety or early illness.","next_morning","Identify stressors. Provide safe quiet space."
Cat,"loss_of_appetite hiding lethargy behavioral_change","Stress","Behavioral changes may indicate anxiety or early illness.","next_morning","Identify stressors. Provide safe quiet space."
Cat,"over_grooming aggression hiding loss_of_appetite","Stress","Behavioral changes may indicate anxiety or early illness.","next_morning","Identify stressors. Provide safe quiet space."
Cat,"not_grooming behavioral_change excessive_vocalization lethargy","Stress","Behavioral changes may indicate anxiety or early illness.","next_morning","Identify stressors. Provide safe quiet space."
Cat,"hiding loss_of_appetite over_grooming aggression","Stress","Behavioral changes may indicate anxiety or early illness.","next_morning","Identify stressors. Provide safe quiet space."
Cat,"behavioral_change lethargy hiding not_grooming","Stress","Behavioral changes may indicate anxiety or early illness.","next_morning","Identify stressors. Provide safe quiet space."
Cat,"excessive_vocalization hiding loss_of_appetite behavioral_change","Stress","Behavioral changes may indicate anxiety or early illness.","next_morning","Identify stressors. Provide safe quiet space."
Cat,"aggression not_grooming lethargy hiding","Stress","Behavioral changes may indicate anxiety or early illness.","next_morning","Identify stressors. Provide safe quiet space."
Cat,"excessive_licking paw_chewing red_paws hair_loss","Allergies","Environmental or food allergy causing skin reaction.","next_morning","Identify and remove allergen. Antihistamines from vet."
Cat,"paw_chewing red_paws sneezing excessive_licking","Allergies","Environmental or food allergy causing skin reaction.","next_morning","Identify and remove allergen. Antihistamines from vet."
Cat,"hair_loss excessive_licking skin_redness paw_chewing","Allergies","Environmental or food allergy causing skin reaction.","next_morning","Identify and remove allergen. Antihistamines from vet."
Cat,"red_paws sneezing paw_chewing excessive_licking","Allergies","Environmental or food allergy causing skin reaction.","next_morning","Identify and remove allergen. Antihistamines from vet."
Cat,"excessive_licking hair_loss red_paws skin_redness","Allergies","Environmental or food allergy causing skin reaction.","next_morning","Identify and remove allergen. Antihistamines from vet."
Cat,"paw_chewing excessive_licking sneezing hair_loss","Allergies","Environmental or food allergy causing skin reaction.","next_morning","Identify and remove allergen. Antihistamines from vet."
Cat,"skin_redness red_paws excessive_licking paw_chewing","Allergies","Environmental or food allergy causing skin reaction.","next_morning","Identify and remove allergen. Antihistamines from vet."
Cat,"sneezing hair_loss paw_chewing red_paws","Allergies","Environmental or food allergy causing skin reaction.","next_morning","Identify and remove allergen. Antihistamines from vet."
Cat,"excessive_licking skin_redness paw_chewing sneezing","Allergies","Environmental or food allergy causing skin reaction.","next_morning","Identify and remove allergen. Antihistamines from vet."
Cat,"red_paws hair_loss excessive_licking skin_redness","Allergies","Environmental or food allergy causing skin reaction.","next_morning","Identify and remove allergen. Antihistamines from vet."
Cat,"red_eyes squinting eye_discharge cloudy_eyes","Eye Infection","Bacterial or viral eye infection. Do not rub eyes.","next_morning","Clean eyes with damp cloth. Vet will prescribe eye drops."
Cat,"eye_discharge red_eyes squinting swelling","Eye Infection","Bacterial or viral eye infection. Do not rub eyes.","next_morning","Clean eyes with damp cloth. Vet will prescribe eye drops."
Cat,"cloudy_eyes squinting eye_discharge redness","Eye Infection","Bacterial or viral eye infection. Do not rub eyes.","next_morning","Clean eyes with damp cloth. Vet will prescribe eye drops."
Cat,"squinting red_eyes swelling eye_discharge","Eye Infection","Bacterial or viral eye infection. Do not rub eyes.","next_morning","Clean eyes with damp cloth. Vet will prescribe eye drops."
Cat,"eye_discharge cloudy_eyes redness squinting","Eye Infection","Bacterial or viral eye infection. Do not rub eyes.","next_morning","Clean eyes with damp cloth. Vet will prescribe eye drops."
Cat,"red_eyes swelling cloudy_eyes eye_discharge","Eye Infection","Bacterial or viral eye infection. Do not rub eyes.","next_morning","Clean eyes with damp cloth. Vet will prescribe eye drops."
Cat,"squinting eye_discharge redness cloudy_eyes","Eye Infection","Bacterial or viral eye infection. Do not rub eyes.","next_morning","Clean eyes with damp cloth. Vet will prescribe eye drops."
Cat,"cloudy_eyes red_eyes eye_discharge squinting","Eye Infection","Bacterial or viral eye infection. Do not rub eyes.","next_morning","Clean eyes with damp cloth. Vet will prescribe eye drops."
Cat,"swelling squinting red_eyes eye_discharge","Eye Infection","Bacterial or viral eye infection. Do not rub eyes.","next_morning","Clean eyes with damp cloth. Vet will prescribe eye drops."
Cat,"eye_discharge redness squinting swelling","Eye Infection","Bacterial or viral eye infection. Do not rub eyes.","next_morning","Clean eyes with damp cloth. Vet will prescribe eye drops."
Cat,"straining_to_urinate blood_in_urine crying_when_urinating","Urinary Tract Infection","UTI or bladder stones. Very painful for pet.","urgent","Increase water intake. Vet visit needed for antibiotics."
Cat,"blood_in_urine frequent_urination straining_to_urinate lethargy","Urinary Tract Infection","UTI or bladder stones. Very painful for pet.","urgent","Increase water intake. Vet visit needed for antibiotics."
Cat,"crying_when_urinating straining_to_urinate blood_in_urine weakness","Urinary Tract Infection","UTI or bladder stones. Very painful for pet.","urgent","Increase water intake. Vet visit needed for antibiotics."
Cat,"frequent_urination blood_in_urine lethargy straining_to_urinate","Urinary Tract Infection","UTI or bladder stones. Very painful for pet.","urgent","Increase water intake. Vet visit needed for antibiotics."
Cat,"straining_to_urinate lethargy crying_when_urinating blood_in_urine","Urinary Tract Infection","UTI or bladder stones. Very painful for pet.","urgent","Increase water intake. Vet visit needed for antibiotics."
Cat,"blood_in_urine weakness frequent_urination straining_to_urinate","Urinary Tract Infection","UTI or bladder stones. Very painful for pet.","urgent","Increase water intake. Vet visit needed for antibiotics."
Cat,"crying_when_urinating frequent_urination straining_to_urinate weakness","Urinary Tract Infection","UTI or bladder stones. Very painful for pet.","urgent","Increase water intake. Vet visit needed for antibiotics."
Cat,"lethargy straining_to_urinate blood_in_urine frequent_urination","Urinary Tract Infection","UTI or bladder stones. Very painful for pet.","urgent","Increase water intake. Vet visit needed for antibiotics."
Cat,"straining_to_urinate weakness crying_when_urinating lethargy","Urinary Tract Infection","UTI or bladder stones. Very painful for pet.","urgent","Increase water intake. Vet visit needed for antibiotics."
Cat,"blood_in_urine straining_to_urinate lethargy crying_when_urinating","Urinary Tract Infection","UTI or bladder stones. Very painful for pet.","urgent","Increase water intake. Vet visit needed for antibiotics."
Cat,"excessive_vocalization restlessness inability_to_urinate straining","Blocked Bladder","Complete urinary blockage. Fatal within 24 to 48 hours.","urgent","Go to emergency vet immediately. This is life threatening."
Cat,"inability_to_urinate straining excessive_vocalization lethargy","Blocked Bladder","Complete urinary blockage. Fatal within 24 to 48 hours.","urgent","Go to emergency vet immediately. This is life threatening."
Cat,"straining restlessness inability_to_urinate crying","Blocked Bladder","Complete urinary blockage. Fatal within 24 to 48 hours.","urgent","Go to emergency vet immediately. This is life threatening."
Cat,"lethargy inability_to_urinate straining excessive_vocalization","Blocked Bladder","Complete urinary blockage. Fatal within 24 to 48 hours.","urgent","Go to emergency vet immediately. This is life threatening."
Cat,"excessive_vocalization crying straining inability_to_urinate","Blocked Bladder","Complete urinary blockage. Fatal within 24 to 48 hours.","urgent","Go to emergency vet immediately. This is life threatening."
Cat,"restlessness lethargy excessive_vocalization straining","Blocked Bladder","Complete urinary blockage. Fatal within 24 to 48 hours.","urgent","Go to emergency vet immediately. This is life threatening."
Cat,"inability_to_urinate excessive_vocalization lethargy restlessness","Blocked Bladder","Complete urinary blockage. Fatal within 24 to 48 hours.","urgent","Go to emergency vet immediately. This is life threatening."
Cat,"straining crying restlessness inability_to_urinate","Blocked Bladder","Complete urinary blockage. Fatal within 24 to 48 hours.","urgent","Go to emergency vet immediately. This is life threatening."
Cat,"lethargy straining restlessness excessive_vocalization","Blocked Bladder","Complete urinary blockage. Fatal within 24 to 48 hours.","urgent","Go to emergency vet immediately. This is life threatening."
Cat,"inability_to_urinate restlessness crying lethargy","Blocked Bladder","Complete urinary blockage. Fatal within 24 to 48 hours.","urgent","Go to emergency vet immediately. This is life threatening."
Cat,"scratching head_shaking ear_odor ear_discharge","Ear Infection","Ear infection or mites likely. Avoid home remedies.","next_morning","Clean outer ear gently. Do not insert cotton buds."
Cat,"ear_odor head_shaking scratching redness","Ear Infection","Ear infection or mites likely. Avoid home remedies.","next_morning","Clean outer ear gently. Do not insert cotton buds."
Cat,"ear_discharge scratching head_shaking discomfort","Ear Infection","Ear infection or mites likely. Avoid home remedies.","next_morning","Clean outer ear gently. Do not insert cotton buds."
Cat,"head_shaking ear_odor ear_discharge itching","Ear Infection","Ear infection or mites likely. Avoid home remedies.","next_morning","Clean outer ear gently. Do not insert cotton buds."
Cat,"scratching redness ear_discharge head_shaking","Ear Infection","Ear infection or mites likely. Avoid home remedies.","next_morning","Clean outer ear gently. Do not insert cotton buds."
Cat,"ear_odor itching discomfort head_shaking","Ear Infection","Ear infection or mites likely. Avoid home remedies.","next_morning","Clean outer ear gently. Do not insert cotton buds."
Cat,"ear_discharge ear_odor scratching redness","Ear Infection","Ear infection or mites likely. Avoid home remedies.","next_morning","Clean outer ear gently. Do not insert cotton buds."
Cat,"head_shaking discomfort ear_discharge itching","Ear Infection","Ear infection or mites likely. Avoid home remedies.","next_morning","Clean outer ear gently. Do not insert cotton buds."
Cat,"scratching ear_odor redness ear_discharge","Ear Infection","Ear infection or mites likely. Avoid home remedies.","next_morning","Clean outer ear gently. Do not insert cotton buds."
Cat,"itching head_shaking ear_odor discomfort","Ear Infection","Ear infection or mites likely. Avoid home remedies.","next_morning","Clean outer ear gently. Do not insert cotton buds."
Cat,"black_ear_debris head_shaking scratching ear_odor","Ear Mites","Tiny parasites living inside ear canal. Very itchy.","next_morning","Ear cleaning solution from vet. Treat all pets in house."
Cat,"scratching black_ear_debris head_shaking discomfort","Ear Mites","Tiny parasites living inside ear canal. Very itchy.","next_morning","Ear cleaning solution from vet. Treat all pets in house."
Cat,"ear_odor black_ear_debris head_shaking scratching","Ear Mites","Tiny parasites living inside ear canal. Very itchy.","next_morning","Ear cleaning solution from vet. Treat all pets in house."
Cat,"head_shaking scratching ear_odor black_ear_debris","Ear Mites","Tiny parasites living inside ear canal. Very itchy.","next_morning","Ear cleaning solution from vet. Treat all pets in house."
Cat,"discomfort ear_odor black_ear_debris head_shaking","Ear Mites","Tiny parasites living inside ear canal. Very itchy.","next_morning","Ear cleaning solution from vet. Treat all pets in house."
Cat,"black_ear_debris scratching discomfort ear_odor","Ear Mites","Tiny parasites living inside ear canal. Very itchy.","next_morning","Ear cleaning solution from vet. Treat all pets in house."
Cat,"head_shaking ear_odor discomfort black_ear_debris","Ear Mites","Tiny parasites living inside ear canal. Very itchy.","next_morning","Ear cleaning solution from vet. Treat all pets in house."
Cat,"scratching discomfort head_shaking ear_odor","Ear Mites","Tiny parasites living inside ear canal. Very itchy.","next_morning","Ear cleaning solution from vet. Treat all pets in house."
Cat,"ear_odor head_shaking black_ear_debris discomfort","Ear Mites","Tiny parasites living inside ear canal. Very itchy.","next_morning","Ear cleaning solution from vet. Treat all pets in house."
Cat,"black_ear_debris discomfort scratching head_shaking","Ear Mites","Tiny parasites living inside ear canal. Very itchy.","next_morning","Ear cleaning solution from vet. Treat all pets in house."
Cat,"nasal_discharge sneezing coughing lethargy fever","Upper Respiratory Infection","Common cold like illness in cats.","next_morning","Steam inhalation helps. Keep warm. Vet for antibiotics."
Cat,"sneezing runny_nose coughing lethargy","Upper Respiratory Infection","Common cold like illness in cats.","next_morning","Steam inhalation helps. Keep warm. Vet for antibiotics."
Cat,"coughing nasal_discharge fever lethargy","Upper Respiratory Infection","Common cold like illness in cats.","next_morning","Steam inhalation helps. Keep warm. Vet for antibiotics."
Cat,"lethargy sneezing fever runny_nose","Upper Respiratory Infection","Common cold like illness in cats.","next_morning","Steam inhalation helps. Keep warm. Vet for antibiotics."
Cat,"runny_nose coughing nasal_discharge sneezing","Upper Respiratory Infection","Common cold like illness in cats.","next_morning","Steam inhalation helps. Keep warm. Vet for antibiotics."
Cat,"fever lethargy sneezing nasal_discharge","Upper Respiratory Infection","Common cold like illness in cats.","next_morning","Steam inhalation helps. Keep warm. Vet for antibiotics."
Cat,"coughing sneezing runny_nose fever","Upper Respiratory Infection","Common cold like illness in cats.","next_morning","Steam inhalation helps. Keep warm. Vet for antibiotics."
Cat,"nasal_discharge lethargy runny_nose coughing","Upper Respiratory Infection","Common cold like illness in cats.","next_morning","Steam inhalation helps. Keep warm. Vet for antibiotics."
Cat,"sneezing fever coughing lethargy","Upper Respiratory Infection","Common cold like illness in cats.","next_morning","Steam inhalation helps. Keep warm. Vet for antibiotics."
Cat,"lethargy runny_nose nasal_discharge fever","Upper Respiratory Infection","Common cold like illness in cats.","next_morning","Steam inhalation helps. Keep warm. Vet for antibiotics."
Cat,"sudden_collapse muscle_twitching paddling_legs unconscious","Epilepsy","Seizure disorder. Keep record of frequency and duration.","urgent","Do not hold pet during seizure. Time the episode. Call vet."
Cat,"seizures muscle_twitching sudden_collapse paddling_legs","Epilepsy","Seizure disorder. Keep record of frequency and duration.","urgent","Do not hold pet during seizure. Time the episode. Call vet."
Cat,"unconscious paddling_legs seizures drooling","Epilepsy","Seizure disorder. Keep record of frequency and duration.","urgent","Do not hold pet during seizure. Time the episode. Call vet."
Cat,"muscle_twitching sudden_collapse unconscious seizures","Epilepsy","Seizure disorder. Keep record of frequency and duration.","urgent","Do not hold pet during seizure. Time the episode. Call vet."
Cat,"paddling_legs seizures drooling sudden_collapse","Epilepsy","Seizure disorder. Keep record of frequency and duration.","urgent","Do not hold pet during seizure. Time the episode. Call vet."
Cat,"drooling unconscious muscle_twitching seizures","Epilepsy","Seizure disorder. Keep record of frequency and duration.","urgent","Do not hold pet during seizure. Time the episode. Call vet."
Cat,"seizures sudden_collapse paddling_legs unconscious","Epilepsy","Seizure disorder. Keep record of frequency and duration.","urgent","Do not hold pet during seizure. Time the episode. Call vet."
Cat,"muscle_twitching drooling seizures paddling_legs","Epilepsy","Seizure disorder. Keep record of frequency and duration.","urgent","Do not hold pet during seizure. Time the episode. Call vet."
Cat,"unconscious seizures sudden_collapse drooling","Epilepsy","Seizure disorder. Keep record of frequency and duration.","urgent","Do not hold pet during seizure. Time the episode. Call vet."
Cat,"paddling_legs muscle_twitching unconscious sudden_collapse","Epilepsy","Seizure disorder. Keep record of frequency and duration.","urgent","Do not hold pet during seizure. Time the episode. Call vet."
Cat,"pale_gums lethargy weakness rapid_breathing loss_of_appetite","Blood Parasites","Can cause anemia and organ damage if untreated.","urgent","Go to emergency vet. Keep pet warm and still."
Cat,"anemia lethargy pale_gums loss_of_appetite","Blood Parasites","Can cause anemia and organ damage if untreated.","urgent","Go to emergency vet. Keep pet warm and still."
Cat,"rapid_breathing weakness pale_gums fever","Blood Parasites","Can cause anemia and organ damage if untreated.","urgent","Go to emergency vet. Keep pet warm and still."
Cat,"lethargy pale_gums rapid_heartbeat weakness","Blood Parasites","Can cause anemia and organ damage if untreated.","urgent","Go to emergency vet. Keep pet warm and still."
Cat,"loss_of_appetite anemia pale_gums rapid_breathing","Blood Parasites","Can cause anemia and organ damage if untreated.","urgent","Go to emergency vet. Keep pet warm and still."
Cat,"fever pale_gums lethargy weakness","Blood Parasites","Can cause anemia and organ damage if untreated.","urgent","Go to emergency vet. Keep pet warm and still."
Cat,"rapid_heartbeat anemia lethargy pale_gums","Blood Parasites","Can cause anemia and organ damage if untreated.","urgent","Go to emergency vet. Keep pet warm and still."
Cat,"weakness rapid_breathing loss_of_appetite pale_gums","Blood Parasites","Can cause anemia and organ damage if untreated.","urgent","Go to emergency vet. Keep pet warm and still."
Cat,"pale_gums fever anemia rapid_breathing","Blood Parasites","Can cause anemia and organ damage if untreated.","urgent","Go to emergency vet. Keep pet warm and still."
Cat,"lethargy rapid_heartbeat weakness pale_gums","Blood Parasites","Can cause anemia and organ damage if untreated.","urgent","Go to emergency vet. Keep pet warm and still."
Cat,"diarrhea vomiting drooling seizures","Poisoning","Critical emergency. Note anything the pet may have eaten.","urgent","Go to emergency vet immediately. Do NOT induce vomiting."
Cat,"drooling seizures collapse vomiting","Poisoning","Critical emergency. Note anything the pet may have eaten.","urgent","Go to emergency vet immediately. Do NOT induce vomiting."
Cat,"vomiting trembling collapse drooling","Poisoning","Critical emergency. Note anything the pet may have eaten.","urgent","Go to emergency vet immediately. Do NOT induce vomiting."
Cat,"seizures drooling diarrhea rapid_heartbeat","Poisoning","Critical emergency. Note anything the pet may have eaten.","urgent","Go to emergency vet immediately. Do NOT induce vomiting."
Cat,"collapse vomiting drooling seizures","Poisoning","Critical emergency. Note anything the pet may have eaten.","urgent","Go to emergency vet immediately. Do NOT induce vomiting."
